from,to
long_A,bombsite_A
long_A,elevator
long_A,upper_tunnels
long_A,outside_tunnels
long_A,outside_long_doors
long_A,short_A
long_A,car
long_A,elbow
long_A,ramp
long_A,bombsite_B
long_A,upper_mid
long_A,catwalk
long_A,mid
upper_tunnels,bombsite_B
upper_tunnels,ct_spawn
upper_tunnels,lower_tunnels
upper_tunnels,t_spawn
upper_tunnels,short_A
upper_tunnels,bombsite_A
upper_tunnels,long_A
upper_tunnels,outside_tunnels
upper_tunnels,catwalk
upper_tunnels,upper_mid
upper_tunnels,ct_mid
upper_tunnels,outside_long_doors
upper_tunnels,elevator
upper_tunnels,doubledoors
upper_tunnels,elbow
upper_tunnels,car
upper_tunnels,ramp
upper_tunnels,suicide
upper_tunnels,mid
doubledoors,t_spawn
doubledoors,ct_spawn
doubledoors,long_A
doubledoors,ramp
doubledoors,outside_tunnels
doubledoors,bombsite_B
doubledoors,short_A
doubledoors,bombsite_A
doubledoors,catwalk
doubledoors,elevator
doubledoors,elbow
doubledoors,car
doubledoors,ct_mid
doubledoors,lower_tunnels
doubledoors,outside_long_doors
doubledoors,mid
doubledoors,upper_tunnels
doubledoors,upper_mid
doubledoors,suicide
bombsite_A,ct_spawn
bombsite_A,ct_mid
bombsite_A,t_spawn
bombsite_A,outside_tunnels
bombsite_A,short_A
bombsite_A,doubledoors
bombsite_A,elevator
bombsite_A,long_A
bombsite_A,ramp
bombsite_A,bombsite_B
bombsite_A,elbow
bombsite_A,car
bombsite_A,lower_tunnels
bombsite_A,upper_tunnels
elevator,ct_mid
elevator,ct_spawn
elevator,bombsite_B
elevator,outside_tunnels
elevator,t_spawn
elevator,short_A
elevator,car
elevator,ramp
elevator,long_A
elevator,bombsite_A
elevator,elbow
elevator,outside_long_doors
elevator,doubledoors
elevator,lower_tunnels
ct_mid,ct_spawn
ct_mid,catwalk
ct_mid,outside_tunnels
ct_mid,bombsite_B
ct_mid,t_spawn
ct_mid,long_A
ct_mid,bombsite_A
ct_mid,car
ct_mid,elevator
ct_mid,ramp
ct_mid,short_A
ct_mid,upper_tunnels
ct_mid,mid
ct_mid,lower_tunnels
ct_mid,outside_long_doors
ct_mid,suicide
ct_mid,upper_mid
ct_mid,doubledoors
ct_mid,elbow
lower_tunnels,ct_spawn
lower_tunnels,outside_tunnels
lower_tunnels,catwalk
lower_tunnels,bombsite_B
lower_tunnels,short_A
lower_tunnels,ct_mid
lower_tunnels,t_spawn
lower_tunnels,bombsite_A
lower_tunnels,upper_tunnels
lower_tunnels,doubledoors
lower_tunnels,elevator
lower_tunnels,elbow
lower_tunnels,long_A
lower_tunnels,mid
lower_tunnels,ramp
lower_tunnels,car
lower_tunnels,outside_long_doors
car,ct_spawn
car,long_A
car,bombsite_B
car,ct_mid
car,outside_tunnels
car,t_spawn
car,ramp
car,elevator
car,bombsite_A
car,upper_mid
car,elbow
car,doubledoors
car,short_A
ramp,ct_spawn
ramp,t_spawn
ramp,elbow
ramp,long_A
ramp,ct_mid
ramp,doubledoors
ramp,bombsite_A
ramp,outside_tunnels
ramp,car
ramp,elevator
ramp,bombsite_B
ramp,outside_long_doors
ramp,short_A
ramp,catwalk
ramp,upper_tunnels
elbow,ct_spawn
elbow,outside_tunnels
elbow,t_spawn
elbow,elevator
elbow,bombsite_A
elbow,long_A
elbow,car
elbow,ramp
elbow,short_A
elbow,ct_mid
upper_mid,t_spawn
upper_mid,short_A
upper_mid,ct_spawn
upper_mid,long_A
upper_mid,ct_mid
upper_mid,outside_tunnels
upper_mid,catwalk
upper_mid,bombsite_B
upper_mid,upper_tunnels
upper_mid,ramp
upper_mid,mid
upper_mid,outside_long_doors
upper_mid,elbow
upper_mid,lower_tunnels
upper_mid,car
upper_mid,doubledoors
upper_mid,bombsite_A
mid,outside_tunnels
mid,doubledoors
mid,ramp
mid,t_spawn
mid,bombsite_B
mid,upper_mid
mid,outside_long_doors
mid,ct_spawn
mid,short_A
mid,elbow
mid,upper_tunnels
mid,ct_mid
mid,catwalk
mid,bombsite_A
mid,lower_tunnels
mid,car
mid,long_A
suicide,ct_spawn
suicide,outside_tunnels
suicide,short_A
suicide,bombsite_B
suicide,mid
suicide,t_spawn
suicide,long_A
suicide,doubledoors
suicide,catwalk
suicide,upper_mid
suicide,ramp
suicide,car
suicide,outside_long_doors
suicide,elbow
suicide,ct_mid
suicide,upper_tunnels
suicide,lower_tunnels
suicide,bombsite_A
